統計期,臺鐵旅客人數,臺鐵延人公里,臺鐵客運收入,高鐵旅客人數(千人次),高鐵延人公里,臺北捷運旅客人數,臺北捷運延人公里,臺北捷運客運收入,高雄捷運旅客人數,高雄捷運延人公里,高雄捷運客運收入,桃園機場捷運旅客人數,桃園機場捷運延人公里,桃園機場捷運客運收入,新北捷運旅客人數,新北捷運延人公里,新北捷運客運收入,臺中捷運旅客人數,臺中捷運延人公里,臺中捷運客運收入
107年8月,18995.0,950063.0,1595543.0,5420.0,974049.0,64684.0,517718.0,1402087.0,5646.0,44289.0,132343.0,2088.0,41131.0,155801.0,,,,,,
107年9月,18350.0,866534.0,1460267.0,5251.0,946985.0,60869.0,492571.0,1316220.0,5218.0,41464.0,123887.0,1931.0,37752.0,139174.0,,,,,,
107年10月,19433.0,881109.0,1457328.0,5312.0,948121.0,67072.0,547513.0,1449361.0,5654.0,44611.0,133169.0,2044.0,39777.0,137937.0,,,,,,
107年11月,19806.0,892026.0,1442240.0,5517.0,995151.0,65607.0,536413.0,1425746.0,5675.0,45351.0,133486.0,2029.0,39095.0,127934.0,,,,,,
107年12月,21111.0,961619.0,1570596.0,5877.0,1045217.0,70563.0,570685.0,1533132.0,6701.0,48797.0,155035.0,2327.0,45049.0,144503.0,,,,,,
108年1月,19529.0,869639.0,1396766.0,5327.0,956811.0,68003.0,548703.0,1466609.0,5855.0,42330.0,136986.0,2150.0,41177.0,134661.0,,,,,,
108年2月,19003.0,913027.0,1504751.0,5425.0,1014471.0,56014.0,456460.0,1211498.0,6272.0,45574.0,147786.0,2003.0,38998.0,138685.0,356.0,1575.0,2402.0,,,
108年3月,20165.0,917562.0,1467502.0,5648.0,1012348.0,67279.0,545989.0,1451519.0,5789.0,42271.0,134710.0,2196.0,42260.0,142057.0,302.0,1295.0,1923.0,,,
108年4月,20067.0,939740.0,1535452.0,5679.0,1024068.0,63674.0,518663.0,1382973.0,5547.0,40673.0,130523.0,2184.0,42206.0,137696.0,306.0,1337.0,1957.0,,,
108年5月,19224.0,883216.0,1405070.0,5475.0,967395.0,67471.0,545800.0,1457401.0,5512.0,40564.0,128717.0,2234.0,42905.0,138286.0,225.0,960.0,2451.0,,,
108年6月,18981.0,918018.0,1502639.0,5611.0,1002000.0,62900.0,504180.0,1353757.0,5460.0,40089.0,128820.0,2278.0,43683.0,149197.0,239.0,1022.0,2700.0,,,
108年7月,19509.0,964328.0,1564855.0,5622.0,996940.0,66558.0,531365.0,1432418.0,5753.0,41568.0,134196.0,2413.0,45109.0,149211.0,272.0,1047.0,2846.0,,,
108年8月,19117.0,942859.0,1548897.0,5559.0,982412.0,65067.0,517151.0,1388320.0,5595.0,40083.0,131078.0,2474.0,47170.0,155289.0,266.0,1003.0,2947.0,,,
108年9月,19144.0,904343.0,1452116.0,5505.0,972812.0,61917.0,498169.0,1321806.0,5287.0,38947.0,125389.0,2287.0,42807.0,141212.0,266.0,1068.0,3242.0,,,
108年10月,20538.0,940036.0,1490812.0,5801.0,1021511.0,68685.0,559738.0,1473680.0,5749.0,42100.0,134623.0,2579.0,47282.0,155114.0,313.0,1296.0,3284.0,,,
108年11月,20077.0,916795.0,1435191.0,5684.0,995538.0,68385.0,553922.0,1304222.0,5577.0,40669.0,130753.0,2399.0,44679.0,142824.0,286.0,1161.0,4002.0,,,
108年12月,20798.0,936039.0,1466021.0,6075.0,1048148.0,73646.0,580979.0,1566310.0,6345.0,45371.0,147489.0,2765.0,51578.0,166475.0,319.0,1165.0,7424.0,,,
109年1月,19456.0,943152.0,1538684.0,6231.0,1143652.0,62342.0,496976.0,1214239.0,5836.0,42018.0,138550.0,2567.0,47687.0,157720.0,299.0,1053.0,2468.0,,,
109年2月,15247.0,677638.0,1114821.0,3968.0,683592.0,53122.0,428991.0,1154767.0,3815.0,27700.0,90678.0,1707.0,28524.0,91144.0,240.0,832.0,3329.0,,,
109年3月,14987.0,614782.0,964800.0,3530.0,592594.0,53320.0,439918.0,1213152.0,3434.0,25820.0,80940.0,1263.0,18314.0,51469.0,233.0,794.0,3784.0,,,
109年4月,12841.0,530003.0,844513.0,2948.0,503008.0,45348.0,374404.0,1045167.0,2742.0,21053.0,65443.0,1009.0,14063.0,36470.0,195.0,675.0,3022.0,,,
