統計期,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
110年 12月,49029,5998,3176,6407,6253,5828,5326,962,1528,958,2999,943,1372,1013,2147,414,767,105,482,1162,392,125,4,419,249
111年 1月,45846,5832,3058,5430,5251,5607,5609,949,1291,907,2935,887,1264,978,1951,451,746,90,502,973,345,101,5,397,287
111年 2月,34878,4457,2251,4206,4039,4389,3747,724,927,654,2314,673,875,732,1694,402,585,75,366,788,319,65,7,403,186
111年 3月,43148,5990,3068,5445,4975,5341,4110,895,1131,906,2738,761,1171,885,1898,394,680,89,484,1076,316,109,2,407,277
111年 4月,39881,5309,2506,4956,4733,4955,4296,834,1102,817,2495,789,1200,894,1813,352,573,134,398,870,294,90,6,266,199
111年 5月,35860,4333,2210,4514,4410,4141,4547,718,980,695,2306,641,956,721,1511,349,512,114,311,859,346,97,5,356,228
111年 6月,36565,4643,2443,4773,4165,4245,3278,895,1125,775,2360,741,1063,753,1659,406,586,175,464,928,320,90,8,429,241
111年 7月,42193,5113,2940,5526,4497,4782,4333,1174,1278,915,2712,845,1120,801,1840,638,822,185,509,1022,331,142,10,416,242
111年 8月,41656,5053,2807,5430,4310,4701,4530,1133,1297,799,2703,880,1182,802,1869,529,818,187,448,1069,328,100,15,425,241
111年 9月,40869,4789,2817,5380,4783,4665,4343,914,1174,823,2593,862,1185,890,1779,448,713,132,407,1010,328,150,12,466,206
111年 10月,43327,5156,2814,5768,5042,5252,4316,874,1302,930,2767,933,1288,923,1833,377,704,128,413,1198,337,133,4,558,277
111年 11月,45513,5427,2960,5892,6255,5316,4738,927,1328,891,2773,896,1234,993,1844,354,703,76,505,1152,336,156,3,469,285
111年 12月,49443,5309,3395,6383,6718,6087,5309,990,1408,989,2969,1003,1405,1091,2089,429,712,99,460,1216,395,151,0,505,331
