統計期,機動車輛數(輛) - 總計,機動車輛數(輛) - 汽車(不含軍車),機動車輛數(輛) - 機車,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),統計期_y,總計,大客車,大貨車,小客車,小客車-自用,小貨車,特種車,機車,機車-重型,機車-輕型
102年1月,22377730.0,7230034.0,15147696.0,23657.0,10.58,166.0,171.0,56.0,23491.0,31403.0,102年1月,22377730,31147,161339,6112783,5928734,864070,60695,15147696,11843790,3303906
102年2月,22391131.0,7235495.0,15155636.0,19134.0,8.55,156.0,163.0,73.0,18978.0,25729.0,102年2月,22391131,31203,161231,6117791,5933308,864593,60677,15155636,11866812,3288824
102年3月,22363757.0,7243213.0,15120544.0,22623.0,10.11,163.0,166.0,76.0,22460.0,30286.0,102年3月,22363757,31283,161392,6123813,5938849,866093,60632,15120544,11870879,3249665
102年4月,22335514.0,7246629.0,15088885.0,20639.0,9.23,147.0,148.0,49.0,20492.0,27403.0,102年4月,22335514,31332,161387,6126214,5941140,867042,60654,15088885,11871217,3217668
102年5月,22370531.0,7262393.0,15108138.0,22836.0,10.22,137.0,142.0,48.0,22699.0,30347.0,102年5月,22370531,31306,161498,6140588,5954814,868421,60580,15108138,11905333,3202805
102年6月,22419144.0,7277998.0,15141146.0,22984.0,10.26,150.0,157.0,76.0,22834.0,31073.0,102年6月,22419144,31372,161628,6154810,5967861,869542,60646,15141146,11952205,3188941
102年7月,22456107.0,7297534.0,15158573.0,23430.0,10.44,158.0,166.0,67.0,23272.0,31281.0,102年7月,22456107,31467,161763,6172793,5984553,870784,60727,15158573,11990367,3168206
102年8月,22237996.0,7298915.0,14939081.0,23184.0,10.37,137.0,141.0,67.0,23047.0,30623.0,102年8月,22237996,31557,161672,6173514,5985781,871362,60810,14939081,11899471,3039610
102年9月,21646304.0,7307302.0,14339002.0,22538.0,10.27,163.0,169.0,56.0,22375.0,30383.0,102年9月,21646304,31607,161714,6181202,5993104,871936,60843,14339002,11587575,2751427
102年10月,21629623.0,7323353.0,14306270.0,25145.0,11.62,160.0,167.0,55.0,24985.0,34290.0,102年10月,21629623,31713,161857,6195818,6007137,873289,60676,14306270,11590465,2715805
102年11月,21636581.0,7342855.0,14293726.0,25371.0,11.73,159.0,161.0,69.0,25212.0,34345.0,102年11月,21636581,31960,161931,6213870,6024758,874271,60823,14293726,11601338,2692388
102年12月,21562645.0,7367522.0,14195123.0,26847.0,12.43,171.0,177.0,84.0,26676.0,35629.0,102年12月,21562645,31960,162122,6236879,6046599,875544,61017,14195123,11562830,2632293
103年1月,21585998.0,7387299.0,14198699.0,27242.0,12.63,199.0,204.0,98.0,27043.0,36156.0,103年1月,21585998,32051,162105,6255592,6063977,876505,61046,14198699,11582317,2616382
103年2月,21583375.0,7389423.0,14193952.0,21214.0,9.83,122.0,125.0,54.0,21092.0,28142.0,103年2月,21583375,32125,162169,6257106,6065660,877054,60969,14193952,11599450,2594502
103年3月,21535010.0,7402867.0,14132143.0,23843.0,11.06,137.0,139.0,67.0,23706.0,31831.0,103年3月,21535010,32202,162302,6268489,6076304,878917,60957,14132143,11589796,2542347
103年4月,21548889.0,7416753.0,14132136.0,24181.0,11.23,134.0,138.0,83.0,24047.0,32720.0,103年4月,21548889,32244,162359,6280660,6087617,880536,60954,14132136,11609622,2522514
103年5月,21399173.0,7434703.0,13964470.0,24869.0,11.58,121.0,127.0,53.0,24748.0,32989.0,103年5月,21399173,32715,162607,6296208,6101614,882001,61172,13964470,11549740,2414730
103年6月,21309303.0,7457061.0,13852242.0,25285.0,11.84,143.0,145.0,54.0,25142.0,33737.0,103年6月,21309303,32453,162793,6316754,6120386,883824,61237,13852242,11527987,2324255
103年7月,21284482.0,7479775.0,13804707.0,26230.0,12.32,161.0,163.0,63.0,26069.0,35241.0,103年7月,21221473,32549,162950,6337829,6139823,885120,61327,13741698,11482452,2259246
103年8月,21275990.0,7487105.0,13788885.0,25134.0,11.81,152.0,153.0,80.0,24982.0,33558.0,103年8月,21275956,32594,163044,6343914,6145538,886439,61114,13788851,11532803,2256048
103年9月,21310919.0,7502129.0,13808790.0,25626.0,12.03,134.0,138.0,45.0,25492.0,34443.0,103年9月,21287195,32682,163124,6357235,6158112,887829,61259,13785066,11562440,2222626
103年10月,21332118.0,7517904.0,13814214.0,27448.0,12.87,155.0,160.0,66.0,27293.0,37266.0,103年10月,21332084,32784,163236,6371539,6171994,889016,61329,13814180,11601619,2212561
103年11月,21339039.0,7536322.0,13802717.0,26901.0,12.61,139.0,145.0,48.0,26762.0,36711.0,103年11月,21339005,32858,163353,6388582,6188372,890141,61388,13802683,11610331,2192352
103年12月,21290313.0,7554319.0,13735994.0,29869.0,14.01,173.0,182.0,82.0,29696.0,39642.0,103年12月,21290279,32928,163446,6405778,6205246,890703,61464,13735960,11586845,2149115
104年1月,21307420.0,7580535.0,13726885.0,26930.0,12.64,139.0,144.0,59.0,26791.0,36035.0,104年1月,21307386,32967,163510,6430741,6228131,892049,61268,13726851,11596935,2129916
104年2月,21314468.0,7590182.0,13724286.0,21803.0,10.23,120.0,123.0,47.0,21683.0,29229.0,104年2月,21314434,33107,163670,6439800,6236050,892449,61156,13724252,11610224,2114028
104年3月,21319377.0,7599347.0,13720030.0,24880.0,11.67,149.0,153.0,52.0,24731.0,33364.0,104年3月,21319343,33183,163792,6447552,6243938,893732,61088,13719996,11636967,2083029
104年4月,21338537.0,7609531.0,13729006.0,24302.0,11.39,128.0,135.0,39.0,24174.0,32700.0,104年4月,21338503,33292,163950,6456229,6252152,895061,60999,13728972,11661620,2067352
104年5月,21355257.0,7626383.0,13728874.0,24729.0,11.58,132.0,135.0,69.0,24597.0,32742.0,104年5月,21355223,33374,164291,6471134,6265840,896564,61020,13728840,11681898,2046942
104年6月,21355328.0,7647372.0,13707956.0,26660.0,12.48,124.0,128.0,63.0,26536.0,35844.0,104年6月,21355294,33412,164561,6490096,6283184,898200,61103,13707922,11695782,2012140
104年7月,21340803.0,7671139.0,13669664.0,24584.0,11.52,129.0,141.0,61.0,24455.0,32851.0,104年7月,21340769,33472,164790,6512471,6304046,899079,61327,13669630,11700298,1969332
104年8月,21343952.0,7676814.0,13667138.0,23868.0,11.18,146.0,152.0,93.0,23722.0,31671.0,104年8月,21343918,33488,164989,6517256,6309266,899502,61579,13667104,11722543,1944561
104年9月,21378820.0,7685664.0,13693156.0,24639.0,11.53,128.0,131.0,54.0,24511.0,32962.0,104年9月,21378786,33630,165217,6524659,6316544,900489,61669,13693122,11765988,1927134
104年10月,21386814.0,7699304.0,13687510.0,26877.0,12.57,131.0,136.0,51.0,26746.0,36324.0,104年10月,21386780,33744,165403,6536431,6328389,901802,61924,13687476,11784254,1903222
104年11月,21405416.0,7718118.0,13687298.0,26730.0,12.49,156.0,161.0,56.0,26574.0,36333.0,104年11月,21405382,33843,165665,6553772,6345454,902871,61967,13687264,11802482,1884782
104年12月,21400897.0,7739144.0,13661753.0,29411.0,13.74,157.0,157.0,79.0,29254.0,39295.0,104年12月,21400863,33890,165695,6573746,6365190,903739,62074,13661719,11805195,1856524
105年1月,21411825.0,7755790.0,13656035.0,27403.0,12.8,165.0,168.0,54.0,27238.0,35638.0,105年1月,21411791,33914,165745,6589668,6379055,904522,61941,13656001,11818526,1837475
