,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
3493,109年02月07日 11時46分13秒,臺南市官田區社子里區道南119線73之1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.362877,23.175872
3494,109年02月07日 13時11分55秒,南投縣竹山鎮桶頭里鯉南路-149乙線3.5K前,死亡1;受傷1,租賃車-小客車;乘客-人,120.655432,23.616165
3495,109年02月07日 14時47分00秒,臺中市神岡區豐洲里豐洲路299號前0.0公尺,死亡1;受傷1,普通輕型-機車;普通重型-機車,120.707499,24.260261
3496,109年02月07日 14時50分00秒,臺東縣海端鄉台20線 162公里300.0公尺處附近,死亡1;受傷0,自用-大貨車,121.049162,23.158272
3497,109年02月07日 15時50分00秒,宜蘭縣壯圍鄉中央路3段口 / 宜蘭縣壯圍鄉中央路3段口,死亡1;受傷1,自用-小客車;普通重型-機車,121.790365,24.760453
3498,109年02月07日 19時16分00秒,臺東縣長濱鄉寧埔村八桑安路42-1號前0.0公尺東側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),121.418021,23.253572
3499,109年02月07日 23時47分00秒,彰化縣伸港鄉什股村建國路前0.0公尺,死亡1;受傷0,普通重型-機車,120.4733,24.15059
3500,109年02月08日 02時00分00秒,臺中市大里區健民里健東路前0.0公尺,死亡1;受傷0,普通重型-機車,120.719306,24.082765
3501,109年02月08日 07時26分00秒,高雄市左營區軍校路553號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.3063,22.67525
3502,109年02月08日 08時05分00秒,桃園市龜山區東萬壽路16.9k處S109020170迴龍所,死亡1;受傷1,普通重型-機車;乘客-人,121.387489,25.008862
3503,109年02月09日 04時34分00秒,嘉義縣新港鄉板頭村嘉74線道1.85公里附近,死亡1;受傷0,自用-小客車,120.33067,23.570381
3504,109年02月09日 05時05分00秒,彰化縣鹿港鎮草中里頂草路4段415號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車,120.457436,24.108489
3505,109年02月09日 05時06分00秒,桃園市龜山區幸福路山福分線2號電桿(S109020196-大林派出所),死亡1;受傷0,普通重型-機車,121.332019,24.988436
3506,109年02月09日 05時25分00秒,臺東縣成功鎮台11線 114公里800.0公尺處南側向交流道,死亡1;受傷0,普通重型-機車,121.363891,23.097829
3507,109年02月09日 13時05分00秒,高雄市前鎮區中華五路 / 高雄市前鎮區正勤路,死亡1;受傷1,普通重型-機車;行人-人,120.306121,22.602985
3508,109年02月09日 21時03分00秒,桃園市八德區興豐路口 / 桃園市八德區後庄街口,死亡1;受傷0,電動自行車-慢車;自用-小客車,121.324311,24.952343
3509,109年02月10日 01時20分00秒,臺北市大同區延平北路3段 / 臺北市大同區民權西路,死亡1;受傷1,普通重型-機車;普通重型-機車,121.511145,25.063
3510,109年02月10日 03時00分57秒,新北市汐止區國道1號 13公里100.0公尺處南側向內側,死亡1;受傷0,計程車-小客車,121.668533,25.081816
