發生時間,發生地點,死亡受傷人數,車種,經度,緯度
105年11月18日 02時25分00秒,新北市新店區,死亡1;受傷2,自用-小客車;大型重型1(550C.C.以上)-機車;乘客-人;乘客-人,,
105年11月18日 06時36分00秒,金門縣金湖鎮新湖里市港路56號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,,
105年11月18日 08時20分00秒,臺南市官田區臺1 306公里北向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年11月18日 20時45分00秒,臺北市文山區羅斯福路5段前0.0公尺,死亡1;受傷2,計程車-小客車;普通重型-機車;行人-人;乘客-人,,
105年11月19日 00時35分00秒,臺南市東山區165線15.8K處,死亡1;受傷0,普通重型-機車,,
105年11月19日 05時06分00秒,雲林縣林內鄉重興路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年11月19日 13時25分00秒,高雄市三民區建工路229巷前0.0公尺,死亡1;受傷2,普通輕型-機車;普通輕型-機車;乘客-人,,
105年11月19日 18時05分00秒,彰化縣埤頭鄉溪林路前0.0公尺,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;普通重型-機車,,
105年11月19日 19時37分00秒,桃園市桃園區南華里中華路140號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,,
105年11月19日 23時30分00秒,臺北市萬華區光復橋道路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
105年11月20日 01時30分00秒,雲林縣口湖鄉164公路4.6KM,死亡1;受傷1,自用-小客車;乘客-人;乘客-人;乘客-人,,
105年11月20日 06時26分00秒,彰化縣大城鄉村南路 / 彰化縣大城鄉南北路,死亡1;受傷0,營業用-半聯結車;民營客運-大客車,,
105年11月20日 10時22分00秒,新北市樹林區八德街前0.0公尺,死亡1;受傷2,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人,,
105年11月20日 11時10分00秒,屏東縣獅子鄉台九線464.1公里處西向,死亡1;受傷0,普通重型-機車;自用-小客車,,
105年11月20日 12時00分00秒,新北市萬里區台二線道路前0.0公尺,死亡1;受傷1,計程車-小客車;普通重型-機車;乘客-人;乘客-人,,
105年11月20日 22時20分00秒,雲林縣四湖鄉縣道160線溪湖22電桿附近,死亡2;受傷2,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人,,
105年11月21日 05時45分00秒,臺南市柳營區大農里義士路一段605巷前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,,
105年11月21日 12時23分00秒,雲林縣褒忠鄉158線馬忠25電桿前(16K處),死亡1;受傷0,普通重型-機車,,
105年11月21日 12時30分00秒,臺南市將軍區,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年11月21日 16時39分00秒,宜蘭縣三星鄉大義村上將路三段559號前0.0公尺,死亡2;受傷0,普通重型-機車;自用-小客車;乘客-人,,
105年11月21日 18時05分00秒,雲林縣口湖鄉台61 254公里600.0公尺處南向北外側,死亡1;受傷0,普通重型-機車;自用-大貨車,,
105年11月22日 08時40分00秒,新北市泰山區大科路前0.0公尺,死亡1;受傷0,自用-大貨車;自用-小客車;自用-小貨車(含客、貨兩用),,
105年11月22日 08時50分00秒,屏東縣長治鄉南二高平面道路與德和路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-小貨車(含客、貨兩用);租賃車-小客車;乘客-人,,
105年11月22日 10時08分00秒,臺南市永康區國道1號 316公里200.0公尺處北向外側,死亡1;受傷2,營業用-半聯結車;營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小客車,,
105年11月22日 16時22分00秒,高雄市苓雅區三多一路186號前0.0公尺,死亡1;受傷0,營業用-大貨車;普通輕型-機車;計程車-小客車;計程車-小客車,,
105年11月23日 01時00分00秒,嘉義縣東石鄉168 3公里100.0公尺處西向外側,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,,
105年11月23日 01時07分00秒,新北市五股區成蘆橋道路前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,,
105年11月23日 01時27分00秒,彰化縣芳苑鄉,死亡1;受傷0,普通重型-機車;營業用-曳引車,,
105年11月23日 02時00分00秒,桃園市大園區內海里西濱路二段819號前0.0公尺,死亡1;受傷0,自用-小客車,,
105年11月23日 03時48分00秒,高雄市三民區同盟二路前0.0公尺,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;乘客-人,,
105年11月23日 05時53分00秒,宜蘭縣宜蘭市中山路一段822號前0.0公尺,死亡1;受傷0,民營公車-大客車;行人-人,,
105年11月23日 10時05分00秒,宜蘭縣南澳鄉台9 116公里900.0公尺處南向中內,死亡1;受傷0,普通重型-機車;自用-曳引車;乘客-人,,
105年11月23日 10時20分00秒,屏東縣九如鄉東寧路台三線424.5k,死亡1;受傷0,自用-大貨車;普通重型-機車,,
105年11月23日 17時04分00秒,新竹縣新埔鎮中正路 / 新竹縣新埔鎮環河路,死亡1;受傷0,自用-小客車;普通重型-機車,,
105年11月23日 18時21分00秒,嘉義市東區南興路前0.0公尺,死亡1;受傷0,計程車-小客車;其他慢車-慢車,,
105年11月23日 18時25分00秒,雲林縣斗南鎮158乙線東向5.7公里,死亡1;受傷1,自用-小客車;自用-小客車,,
105年11月24日 08時03分00秒,屏東縣竹田鄉永豐村永豐路87號前0.0公尺,死亡1;受傷0,小型輕型-機車;自用-小貨車(含客、貨兩用),,
105年11月24日 17時40分00秒,臺南市永康區三民里永安路 / 臺南市永康區三民里仁愛街,死亡1;受傷0,自用-大貨車;普通重型-機車,,
105年11月24日 23時45分00秒,新北市樹林區八德街372號前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年11月25日 06時30分00秒,臺東縣太麻里鄉台9 406公里100.0公尺處北向外側,死亡1;受傷0,行人-人;自用-小客車,,
105年11月25日 06時38分00秒,新北市八里區龍米路1段30巷前0.0公尺,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人,,
105年11月25日 06時58分00秒,臺中市南區平和里美村南路前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;遊覽車-大客車,,
105年11月25日 08時40分00秒,新竹縣芎林鄉國道3號 90公里800.0公尺處南向內側,死亡1;受傷2,營業用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,,
105年11月25日 09時19分00秒,南投縣名間鄉中正村彰南路26號前0.0公尺,死亡1;受傷0,普通輕型-機車;營業用-小貨車(含客、貨兩用),,
105年11月25日 09時50分00秒,高雄市三民區中華二路前0.0公尺,死亡1;受傷0,自用-小客車;電動自行車-慢車,,
105年11月25日 15時17分00秒,臺南市麻豆區,死亡1;受傷1,普通重型-機車;乘客-人,,
105年11月25日 16時10分00秒,雲林縣北港鎮台19 65公里650.0公尺處南向北,死亡1;受傷1,自用-小客車;乘客-人,,
105年11月25日 16時20分00秒,高雄市鼓山區鼓山一路32號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,,
105年11月25日 19時20分00秒,嘉義縣布袋鎮聯外道路與產業道路路口,死亡1;受傷0,自用-小客車,,
105年11月25日 19時30分00秒,臺北市大安區仁愛路4段前0.0公尺,死亡1;受傷0,民營公車-大客車;行人-人,,
105年11月26日 05時08分00秒,臺南市仁德區後壁里中正路二段366號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,,
105年11月26日 07時15分00秒,新竹縣竹東鎮新中正橋芎林往竹東方向,死亡1;受傷1,大型重型1(550C.C.以上)-機車;普通輕型-機車,,
105年11月26日 07時22分00秒,高雄市大寮區萬大大橋路東向上號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年11月26日 08時52分00秒,臺南市歸仁區台39線向南14k處慢車道,死亡1;受傷1,普通重型-機車;乘客-人,,
105年11月26日 09時29分00秒,高雄市三民區大順三路陸橋上號前0.0公尺,死亡1;受傷0,普通輕型-機車,,
105年11月26日 15時40分00秒,宜蘭縣蘇澳鎮聖愛路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,,
105年11月26日 22時43分00秒,臺中市大里區東昇里內新街139號前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年11月27日 04時44分00秒,臺東縣台東市新生路168巷前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,,
105年11月28日 10時40分00秒,基隆市中山區通明街74號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
105年11月28日 15時19分00秒,彰化縣田中鎮斗中路2段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,,
105年11月28日 17時12分00秒,新北市泰山區大科路595號前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年11月28日 17時30分00秒,桃園市楊梅區上田里高上路二段246號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車,,
105年11月29日 05時48分00秒,桃園市大園區國道1號 53公里900.0公尺處北向外側,死亡1;受傷0,自用-大貨車;自用-大貨車;民營客運-大客車;自用-小客車;自用-小客車;自用-小客車,,
105年11月29日 10時00分00秒,高雄市旗津區旗津一路014號前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年11月29日 16時00分00秒,臺中市龍井區龍泉里水裡社路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
105年11月30日 00時30分00秒,新北市三峽區中正路3段248號前0.0公尺,死亡1;受傷1,大型重型2(250-550C.C.)-機車;自用-小客車;大型重型2(250-550C.C.)-機車,,
105年11月30日 03時20分00秒,宜蘭縣壯圍鄉壯濱路二段310號前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年11月30日 05時40分00秒,臺中市后里區墩西里三光路36號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,,
105年11月30日 08時50分00秒,臺南市佳里區平等街與信義一街口,死亡1;受傷0,普通重型-機車;自用-小客車,,
105年11月30日 13時38分00秒,臺北市北投區中央南路1段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,,
105年11月30日 13時45分00秒,臺南市麻豆區油車里新生北路 / 臺南市麻豆區油車里新興街,死亡1;受傷0,普通重型-機車;營業用-半聯結車,,
105年11月30日 23時28分00秒,臺北市信義區國道3甲號 3公里900.0公尺處西向交流道,死亡1;受傷0,自用-小客車,,
105年12月01日 00時55分00秒,桃園市八德區瑞祥里介壽路二段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月01日 04時27分00秒,新竹縣竹東鎮大同路與信義路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月01日 05時23分00秒,桃園市龍潭區東興里中興路389號前0.0公尺,死亡1;受傷0,遊覽車-大客車;腳踏自行車-慢車;自用-小客車,,
105年12月01日 05時45分00秒,臺中市新社區新社里東新路三段48號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
105年12月01日 07時25分00秒,彰化縣秀水鄉復興巷 / 彰化縣秀水鄉復興巷,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月01日 08時12分00秒,屏東縣屏東市和平路 / 屏東縣屏東市勝利路,死亡1;受傷0,營業用-全聯結車;腳踏自行車-慢車,,
105年12月02日 21時56分00秒,臺北市中正區新生南路1段60號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,,
105年12月03日 14時10分00秒,新竹市香山區中華路五段473號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;乘客-人,,
105年12月04日 00時00分00秒,屏東縣東港鎮沿海路與明德路口,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人,,
105年12月04日 01時11分00秒,彰化縣田尾鄉延平路前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年12月04日 01時48分00秒,花蓮縣吉安鄉吉安路三段 / 花蓮縣吉安鄉福興路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,,
105年12月04日 04時51分00秒,臺中市南屯區文山里向上路五段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,,
105年12月04日 05時20分00秒,雲林縣大埤鄉庄寮19號電桿附近(大埤所轄),死亡1;受傷0,行人-人;自用-小客車,,
105年12月04日 06時26分00秒,嘉義縣布袋鎮172 4公里100.0公尺處東向一般,死亡1;受傷0,自用-小客車;普通輕型-機車;乘客-人;乘客-人,,
105年12月04日 08時28分00秒,臺北市文山區景文街前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月04日 11時29分00秒,雲林縣土庫鎮大荖162-3號旁路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,,
105年12月04日 15時45分00秒,臺東縣台東市豐谷北路 / 臺東縣台東市豐樂路,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月05日 00時36分00秒,新北市蘆洲區中山一路前0.0公尺,死亡1;受傷0,行人-人;遊覽車-大客車,,
105年12月05日 12時40分00秒,臺南市永康區新樹里富強路二段353號前0.0公尺,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),,
105年12月05日 19時45分00秒,彰化縣永靖鄉永福路2段前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,,
105年12月05日 20時45分00秒,屏東縣萬丹鄉大昌路339號前,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,,
105年12月05日 22時17分00秒,花蓮縣秀林鄉民享路17號秀林3號橋前(秀林所),死亡1;受傷0,普通重型-機車,,
105年12月06日 10時35分00秒,基隆市暖暖區八堵路1號前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年12月07日 02時00分00秒,屏東縣新園鄉雙園大橋南端,死亡1;受傷0,普通重型-機車,,
105年12月07日 07時00分00秒,桃園市中壢區過嶺里民族路六段576巷39弄前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,,
105年12月07日 15時10分00秒,高雄市仁武區仁孝路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月07日 15時30分00秒,花蓮縣富里鄉台9 310公里200.0公尺處北向外側,死亡1;受傷0,普通重型-機車;自用-小客車,,
105年12月07日 16時52分00秒,屏東縣竹田鄉信實路156-8號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月08日 18時10分00秒,宜蘭縣壯圍鄉永美路20巷前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月08日 22時32分00秒,彰化縣社頭鄉中山路1段 / 彰化縣社頭鄉中興路,死亡1;受傷0,普通輕型-機車;民營客運-大客車,,
105年12月09日 00時58分00秒,屏東縣高樹鄉維興路 / 屏東縣高樹鄉泰和路,死亡1;受傷0,自用-小客車;行人-人,,
105年12月09日 08時41分00秒,彰化縣二林鎮斗苑路4段 / 彰化縣二林鎮大成路,死亡1;受傷0,自用-曳引車;腳踏自行車-慢車,,
105年12月09日 11時46分00秒,嘉義縣朴子市台19 88公里600.0公尺處南向內側,死亡1;受傷0,普通輕型-機車;營業用-曳引車,,
105年12月09日 22時52分00秒,新北市樹林區中山路1段前0.0公尺,死亡1;受傷0,民營公車-大客車;普通重型-機車,,
105年12月10日 00時13分00秒,臺南市仁德區國道1號 332公里300.0公尺處南向內側,死亡1;受傷0,自用-小客車;自用-小客車,,
105年12月10日 08時40分00秒,新竹縣新豐鄉台15線63.5公里南下車道,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月10日 12時16分00秒,花蓮縣吉安鄉中央路一段 / 花蓮縣吉安鄉福興七街,死亡1;受傷1,普通輕型-機車;自用-小客車,,
105年12月10日 19時35分00秒,桃園市中壢區永福里東園路38-2號前0.0公尺,死亡1;受傷0,自用-小客車;自用-小客車;乘客-人,,
105年12月10日 23時30分00秒,臺北市士林區承德橋道路前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,,
105年12月11日 00時47分00秒,新北市板橋區中山路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;自用-小客車,,
105年12月11日 01時42分00秒,桃園市桃園區文中里文中一路 / 桃園市桃園區文中里力行路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
105年12月11日 04時43分00秒,臺北市大同區環河北路2段13號前0.0公尺,死亡1;受傷1,大型重型1(550C.C.以上)-機車;自用-小客車;乘客-人,,
105年12月11日 07時33分00秒,金門縣金城鎮民權路 / 金門縣金城鎮民生路,死亡1;受傷0,自用-小客車;電動自行車-慢車,,
105年12月11日 20時35分00秒,臺南市東山區165 15公里800.0公尺處南向外側,死亡1;受傷0,普通重型-機車,,
105年12月11日 23時35分00秒,臺北市中正區水源快速道路前0.0公尺,死亡1;受傷0,自用-小客車;自用-大貨車,,
105年12月12日 05時36分00秒,彰化縣二林鎮斗苑路3段前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,,
105年12月12日 06時07分00秒,基隆市七堵區八德路17巷前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年12月12日 13時05分00秒,新北市中和區莒光路220號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,,
105年12月12日 17時45分00秒,臺南市將軍區南19線1.1公里處路口,死亡1;受傷0,拼裝車-其他車;普通重型-機車,,
105年12月12日 20時15分00秒,嘉義縣番路鄉台18 56公里300.0公尺處西向路肩,死亡1;受傷0,普通重型-機車,,
105年12月12日 21時04分00秒,高雄市大寮區鳳林四路(全國號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;乘客-人,,
105年12月13日 09時38分00秒,臺北市中山區中山北路1段97號前0.0公尺,死亡1;受傷0,民營客運-大客車;普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用),,
105年12月13日 14時35分00秒,高雄市前鎮區新生路前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車,,
105年12月13日 23時45分00秒,高雄市新興區中正三路180號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月14日 08時45分00秒,雲林縣崙背鄉雲9鄉道近有北18電桿前,死亡1;受傷0,普通重型-機車,,
105年12月14日 11時05分00秒,雲林縣虎尾鎮埒內255之13號旁路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
105年12月14日 11時31分00秒,臺中市太平區聖和里長龍路一段330號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
105年12月15日 07時50分00秒,臺南市仁德區中正路與中山路口,死亡1;受傷0,營業用-半聯結車;普通重型-機車,,
105年12月15日 15時46分00秒,新竹縣竹北市東興路二段285巷前0.0公尺,死亡1;受傷0,租賃車-小客車;普通重型-機車,,
105年12月16日 06時11分00秒,臺北市松山區敦化北路前0.0公尺,死亡1;受傷0,計程車-小客車;行人-人,,
105年12月16日 06時15分00秒,花蓮縣花蓮市大同街 / 花蓮縣花蓮市復興街,死亡1;受傷0,自用-小客車;行人-人,,
105年12月16日 10時52分00秒,高雄市茄萣區濱海路3段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
105年12月16日 10時54分00秒,雲林縣斗南鎮中興路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月16日 18時20分00秒,臺南市新市區營尾高分36右9電線桿處,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月16日 19時39分00秒,高雄市鳳山區過埤路56巷前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,,
105年12月17日 00時36分00秒,新竹市東區寶山路220號前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年12月17日 10時12分00秒,桃園市八德區介壽路一段959號前,死亡1;受傷1,行人-人;普通重型-機車,,
105年12月17日 13時39分00秒,澎湖縣白沙鄉203 21公里700.0公尺處南向中外,死亡2;受傷4,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,,
105年12月17日 18時27分00秒,高雄市岡山區嘉峰路4-1號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月18日 01時10分00秒,屏東縣屏東市和興里忠孝路521-1號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,,
105年12月18日 05時49分00秒,臺中市東勢區泰興里石城街647號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
105年12月18日 09時20分00秒,臺南市東山區田尾8-6號前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月18日 16時25分00秒,南投縣草屯鎮新厝里中興路 / 南投縣草屯鎮新厝里虎山路,死亡1;受傷0,自用-小客車;行人-人,,
105年12月18日 18時33分00秒,新竹縣新豐鄉中興路 / 新竹縣新豐鄉精工路,死亡1;受傷0,營業用-大貨車;普通重型-機車,,
105年12月18日 18時50分00秒,雲林縣西螺鎮漢光里西興南路 / 雲林縣西螺鎮漢光里光復西路,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車;自用-小客車;乘客-人,,
105年12月19日 06時47分00秒,臺南市永康區中山北路147號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
105年12月19日 07時40分00秒,桃園市平鎮區快速路一段702號對面R105120367,死亡1;受傷0,普通重型-機車;營業用-曳引車,,
105年12月19日 10時30分00秒,桃園市平鎮區高雙里民族路三段前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,,
105年12月19日 12時59分00秒,花蓮縣吉安鄉光華二街 / 花蓮縣吉安鄉知卡宣大道二段,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月19日 15時50分00秒,南投縣魚池鄉,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人,,
105年12月19日 18時00分00秒,桃園市大園區橫峰里水源路310號前0.0公尺,死亡1;受傷2,營業用-大貨車;自用-小客車;乘客-人;乘客-人,,
105年12月20日 06時40分00秒,嘉義縣義竹鄉,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用),,
105年12月20日 07時35分00秒,花蓮縣秀林鄉和平村和中隧道南下(和平村),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),,
105年12月20日 08時38分00秒,嘉義縣中埔鄉鹽館村頂中公路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,,
105年12月20日 11時45分00秒,臺北市士林區中正路603號前0.0公尺,死亡1;受傷1,普通重型-機車;計程車-小客車;乘客-人,,
105年12月20日 18時00分00秒,嘉義縣新港鄉中庄村中正路198號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),,
105年12月20日 20時33分00秒,新北市萬里區臺2 45公里100.0公尺處西向一般車道(未劃分,死亡1;受傷0,普通重型-機車;民營客運-大客車,,
105年12月20日 20時58分00秒,嘉義縣新港鄉159縣道與嘉68線路口,死亡1;受傷0,普通重型-機車;營業用-大貨車,,
105年12月21日 06時03分00秒,臺中市后里區公館里三豐路五段 / 臺中市后里區公館里重劃西路,死亡1;受傷0,腳踏自行車-慢車;營業用-半聯結車,,
105年12月21日 13時43分00秒,高雄市路竹區高科聯絡道路(西向號前0.0公尺,死亡1;受傷1,營業用-曳引車;自用-小貨車(含客、貨兩用);乘客-人,,
105年12月21日 18時40分00秒,高雄市楠梓區外環西路燈桿0號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,,
105年12月21日 20時20分00秒,南投縣國姓鄉國姓路前0.0公尺,死亡1;受傷0,普通重型-機車,,
105年12月22日 04時55分00秒,臺中市南屯區文山里向上路五段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,,
105年12月22日 07時43分00秒,嘉義縣新港鄉166 27公里150.0公尺處東向路肩,死亡1;受傷0,普通重型-機車,,
105年12月22日 18時00分00秒,臺南市左鎮區草山四號橋橋墩(往岡林),死亡1;受傷0,普通重型-機車,,
105年12月23日 05時00分00秒,臺中市大肚區遊園路一段 / 臺中市大肚區中蔗路,死亡1;受傷1,普通重型-機車;自用-小客車,,
105年12月23日 07時58分00秒,新北市五股區成泰路3段651號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-曳引車,,
105年12月23日 15時50分00秒,嘉義縣番路鄉159甲 23公里300.0公尺處東向一般,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月24日 06時07分00秒,桃園市八德區瑞德里介壽路二段 / 桃園市八德區瑞德里介壽路,死亡1;受傷1,普通重型-機車;行人-人,,
105年12月24日 08時54分00秒,桃園市八德區大湳里東勇街 / 桃園市八德區大湳里東勇街,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月24日 09時51分00秒,彰化縣福興鄉彰鹿路7段前0.0公尺,死亡1;受傷0,自用-小客車,,
105年12月24日 11時23分00秒,桃園市龜山區成功陸橋上往桃園方向(S105120365，龜山所),死亡1;受傷0,行人-人;自用-大貨車,,
105年12月24日 14時20分00秒,臺北市萬華區和平西路3段286巷前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,,
105年12月24日 20時40分00秒,雲林縣東勢鄉158甲 4公里500.0公尺處東向路邊,死亡1;受傷0,自用-小客車,,
105年12月25日 02時15分00秒,屏東縣東港鎮沿海路 / 屏東縣東港鎮船頭路,死亡1;受傷0,自用-小客車,,
105年12月25日 08時04分00秒,新北市三峽區中正路3段51號前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車,,
105年12月25日 08時49分00秒,彰化縣溪湖鎮彰水路1段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
105年12月25日 09時07分00秒,基隆市仁愛區仁五路 / 基隆市仁愛區愛二路,死亡1;受傷0,自用-小客車;行人-人,,
105年12月25日 14時20分00秒,桃園市楊梅區紅梅里中山路 / 桃園市楊梅區紅梅里秀才路,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,,
105年12月25日 15時43分00秒,嘉義縣六腳鄉台19 79公里600.0公尺處南向內側,死亡1;受傷0,大型重型1(550C.C.以上)-機車;腳踏自行車-慢車,,
105年12月25日 18時31分00秒,嘉義縣布袋鎮172 3公里500.0公尺處西向一般,死亡2;受傷0,自用-小客車;行人-人;行人-人;自用-小客車,,
105年12月25日 18時31分00秒,彰化縣埤頭鄉斗苑西路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,,
105年12月26日 11時38分00秒,臺南市柳營區士林里柳營路二段351號前0.0公尺,死亡2;受傷1,普通重型-機車;自用-小客車;乘客-人,,
105年12月26日 14時38分00秒,彰化縣和美鎮和厝路1段 / 彰化縣和美鎮嘉卿路,死亡1;受傷1,營業用-大貨車;普通重型-機車;乘客-人,,
105年12月28日 06時18分00秒,臺南市佳里區南47線龍營高幹21號前路口,死亡1;受傷0,遊覽車-大客車;腳踏自行車-慢車,,
105年12月28日 17時15分00秒,屏東縣萬丹鄉大學路段-187甲13.8KM頂林幹37,死亡1;受傷1,普通重型-機車;普通重型-機車,,
105年12月28日 18時36分00秒,桃園市大園區三塊石7-2號(N105120431)三果所,死亡1;受傷0,自用-小客車;普通重型-機車,,
105年12月28日 23時26分00秒,高雄市大寮區台八八道路西向5號前0.0公尺,死亡1;受傷0,自用-小客車;營業用-曳引車,,
105年12月29日 05時30分00秒,彰化縣田中鎮大安路3段前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,,
105年12月29日 06時21分00秒,彰化縣福興鄉,死亡1;受傷0,自用-小客車,,
105年12月29日 08時30分00秒,臺北市北投區承德路7段前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;乘客-人,,
105年12月29日 13時18分00秒,臺東縣長濱鄉台11 85公里北向路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
105年12月29日 14時19分00秒,新竹市香山區竹香南路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,,
