發生時間,發生地點,死亡受傷人數,車種,經度,緯度
102年01月12日 00時58分,臺中市南屯區永春南路培德路(口),死亡1;受傷0,普通重型-機車,,
102年01月12日 01時30分,新竹市東區經國大橋往竹北(附近),死亡1;受傷0,普通重型-機車;動力機械-其他車,,
102年01月12日 05時10分,臺北市中正區忠孝西路公園路(口)忠孝西路 公園路,死亡1;受傷0,計程車-小客車;行人-人,,
102年01月12日 05時30分,新竹縣竹北市中華路456號,死亡1;受傷0,自用-小客車;行人-人,,
102年01月12日 06時14分,臺中市梧棲區臺灣大道路八段446號,死亡1;受傷4,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車,,
102年01月12日 06時45分,新北市三芝區淡金公路前0.0公尺數16公里處(臺2(附近),死亡1;受傷0,普通重型-機車,,
102年01月12日 13時05分,桃園縣龜山鄉民生北路與春日路口(國門大橋前)(附近)台4線10公里900公尺處西向內側車道,死亡1;受傷0,營業用-大貨車;普通重型-機車,,
102年01月12日 14時00分,高雄市鼓山區九如四路916號前,死亡2;受傷2,自用-小貨車;普通輕型-機車;普通輕型-機車;普通輕型-機車;普通輕型-機車,,
102年01月12日 14時28分,臺南市麻豆區南勢里171甲線3公里000公尺處西向內側車道,死亡1;受傷0,普通重型-機車;營業用-曳引車,,
102年01月12日 16時33分,臺中市梧棲區文化路一段一巷梧南路(口),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月12日 22時24分,苗栗縣頭份鎮頭份里中正路231巷,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,,
102年01月13日 01時50分,臺南市永康區龍潭里中山北路316號前旁公尺數,死亡1;受傷1,普通重型-機車;自用-小貨車;自用-小貨車;普通重型-機車,,
102年01月13日 02時30分,彰化縣彰化市彰化縣彰化市金馬東路與彰興路口,死亡1;受傷0,自用-小客車,,
102年01月13日 11時30分,臺北市大同區延平北路南京西路(口)延平北路 南京西路,死亡1;受傷0,計程車-小客車;普通重型-機車,,
102年01月13日 18時00分,宜蘭縣南澳鄉台9線124公里500公尺處北向外側車道,死亡1;受傷0,自用-小貨車,,
102年01月13日 19時12分,宜蘭縣五結鄉光榮北路五結路(口)196線16公里100公尺處東向中內車道,死亡1;受傷2,自用-小客車;民營公車-大客車;自用-小客車;自用-小客車,,
