,發生時間,發生地點,死亡受傷人數,車種
3126,103年09月20日 07時20分00秒,新竹市東區公道五路二段前0.0公尺,死亡1;受傷0,普通重型-機車
3127,103年09月20日 15時50分00秒,臺南市善化區文昌路107巷171號,死亡1;受傷0,自用-小客車;普通重型-機車
3128,103年09月20日 16時30分00秒,新竹縣關西鎮台3 56公里400.0公尺處北向外側,死亡1;受傷1,自用-大貨車;普通重型-機車;乘客-人
3129,103年09月20日 20時25分00秒,高雄市大寮區鳳屏一路前0.0公尺,死亡1;受傷0,普通重型-機車
3130,103年09月20日 20時35分00秒,臺南市永康區尚頂里中華路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3131,103年09月21日 04時05分00秒,高雄市楠梓區外環西路 / 高雄市楠梓區左楠路口,死亡1;受傷0,自用-小客車
3132,103年09月21日 09時30分00秒,屏東縣枋山鄉內獅路段,死亡1;受傷0,自用-小客車
3133,103年09月21日 13時49分00秒,嘉義縣民雄鄉福樂村建國路三段232號前0.0公尺,死亡3;受傷0,自用-小客車;自用-小客車;乘客-人
3134,103年09月22日 04時30分00秒,南投縣草屯鎮碧興路一段前0.0公尺,死亡1;受傷0,自用-小客車
3135,103年09月22日 04時55分00秒,桃園縣蘆竹鄉國道2號 8公里500.0公尺處西向內側,死亡1;受傷5,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
3136,103年09月22日 22時05分00秒,高雄市前鎮區東亞路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-半聯結車
3137,103年09月23日 00時14分00秒,臺北市信義區基隆路2段 / 臺北市信義區光復南路,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
3138,103年09月23日 02時37分00秒,新竹縣竹東鎮長安路與新生路口,死亡1;受傷0,自用-小客車;普通重型-機車
3139,103年09月23日 13時10分00秒,高雄市左營區裕誠路前0.0公尺,死亡1;受傷0,計程車-小客車;自用-小客車
3140,103年09月23日 18時15分00秒,臺南市北門區南1線0.3公里處,死亡1;受傷0,普通重型-機車
3141,103年09月24日 06時16分00秒,臺南市安南區公學路五段 / 臺南市安南區安興街,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-曳引車
3142,103年09月24日 15時40分00秒,高雄市三民區九如一路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用)
3143,103年09月24日 19時11分00秒,苗栗縣苗栗市國華路與英才路口,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人
3144,103年09月24日 21時40分00秒,雲林縣斗南鎮建國路二段 / 雲林縣斗南鎮中興路,死亡1;受傷1,普通重型-機車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
3145,103年09月25日 11時00分00秒,臺東縣鹿野鄉瑞源村育才路 / 臺東縣鹿野鄉瑞源村佑民路,死亡1;受傷0,普通重型-機車;普通重型-機車
3146,103年09月25日 21時50分00秒,臺南市仁德區永德路37號,死亡1;受傷0,普通重型-機車
3147,103年09月26日 07時00分00秒,高雄市小港區沿海一路前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車
3148,103年09月26日 09時50分00秒,高雄市小港區沿海二路前0.0公尺,死亡1;受傷0,其他特種車-特種車;普通重型-機車
3149,103年09月26日 23時05分00秒,高雄市大樹區中正路 / 高雄市大樹區大庄巷口,死亡2;受傷0,自用-小客車;普通重型-機車;乘客-人
3150,103年09月27日 20時05分00秒,南投縣埔里鎮籃城里中正路1031號前0.0公尺,死亡1;受傷0,普通重型-機車
3151,103年09月27日 20時50分00秒,新竹縣竹北市中正西路1316號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人;乘客-人
3152,103年09月28日 05時40分00秒,臺南市安定區沙崙49號,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
3153,103年09月28日 08時27分00秒,桃園縣大園鄉許厝港路與桃31線口,死亡1;受傷1,普通重型-機車;普通重型-機車
3154,103年09月28日 08時42分00秒,雲林縣二崙鄉崙西村中山路前0.0公尺,死亡1;受傷4,自用-小客車;自用-小貨車(含客、貨兩用);行人-人;普通重型-機車;普通重型-機車;行人-人
3155,103年09月28日 13時17分00秒,臺南市善化區大成路˙信義路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
3156,103年09月28日 20時00分00秒,高雄市岡山區岡山北路 / 高雄市岡山區本洲路口,死亡1;受傷0,自用-小客車;普通重型-機車
3157,103年09月28日 21時30分00秒,新竹縣竹北市中正西路542號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
3158,103年09月29日 15時30分00秒,臺南市永康區東灣里大灣二街 / 臺南市永康區東灣里大灣東路,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用)
3159,103年09月29日 16時05分00秒,高雄市旗山區延平二路 / 高雄市旗山區樹人橫路口,死亡1;受傷0,自用-小客車;普通重型-機車
3160,103年09月29日 17時44分00秒,彰化縣田尾鄉中山路2段前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
3161,103年09月30日 01時58分00秒,彰化縣芳苑鄉斗苑路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3162,103年09月30日 09時05分00秒,高雄市大社區中山路前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車
3163,103年09月30日 11時26分00秒,臺南市鹽水區與南6線路口,死亡1;受傷0,普通重型-機車;營業用-大貨車
3164,103年09月30日 11時30分00秒,臺中市東區振興里立德街 / 臺中市東區振興里信義街,死亡1;受傷0,民營客運-大客車;普通輕型-機車
3165,103年09月30日 13時43分00秒,宜蘭縣三星鄉大排二路與尚健二路口,死亡1;受傷0,普通重型-機車;自用-小客車
3166,103年09月30日 16時55分00秒,高雄市橋頭區林北路 / 高雄市橋頭區鹽埔路口,死亡1;受傷0,普通重型-機車
3167,103年09月30日 18時17分00秒,新北市土城區明德路1段375號前0.0公尺,死亡1;受傷1,普通重型-機車;大型重型2(250-550C.C.)-機車;自用-小客車
3168,103年09月30日 19時10分00秒,高雄市前鎮區翠亨北路 / 高雄市前鎮區漁港路口,死亡1;受傷0,營業用-半聯結車;行人-人
3169,103年09月30日 19時39分00秒,雲林縣虎尾鎮145線下湳段3號橋處,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車
3170,103年10月01日 03時50分00秒,桃園縣觀音鄉濱海路 / 桃園縣觀音鄉文化路,死亡1;受傷0,營業用-曳引車
3171,103年10月01日 15時04分00秒,彰化縣彰化市三民路 / 彰化縣彰化市民生路,死亡1;受傷0,自用-大貨車;普通輕型-機車
3172,103年10月01日 17時05分00秒,高雄市楠梓區德惠路 / 高雄市楠梓區德民路口,死亡2;受傷0,營業用-大貨車;普通重型-機車;乘客-人
3173,103年10月01日 18時03分00秒,花蓮縣吉安鄉廣賢路一段398號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);電動自行車-慢車;乘客-人
3174,103年10月01日 21時20分00秒,屏東縣新園鄉興安路68號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
3175,103年10月02日 22時20分00秒,雲林縣斗南鎮溫厝角台78線涵洞下,死亡1;受傷0,普通重型-機車
3176,103年10月03日 06時10分00秒,高雄市鳳山區鳳林路 / 高雄市鳳山區東門街口,死亡1;受傷0,普通輕型-機車;自用-小客車
3177,103年10月03日 07時06分00秒,屏東縣車城鄉溫泉路 199線33K西向,死亡1;受傷0,普通重型-機車
3178,103年10月03日 08時20分00秒,宜蘭縣蘇澳鎮福德路316號前0.0公尺,死亡1;受傷0,公營公車-大客車;行人-人
3179,103年10月03日 08時48分00秒,臺中市烏日區烏日里新興路 / 臺中市烏日區烏日里光日路,死亡1;受傷1,營業用-大貨車;行人-人;行人-人
3180,103年10月03日 09時00分00秒,雲林縣林內鄉大同路 / 雲林縣林內鄉民族路,死亡1;受傷0,自用-小客車;行人-人
3181,103年10月03日 09時35分00秒,嘉義縣大林鎮國道1號 249公里900.0公尺處南向內側,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人
3182,103年10月03日 16時20分00秒,臺中市太平區新坪里育仁路 / 臺中市太平區新坪里育才路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
3183,103年10月03日 17時37分00秒,南投縣國姓鄉147縣約1.3公里處(電桿國里幹55前),死亡1;受傷1,自用-小客車;乘客-人;乘客-人
3184,103年10月03日 17時41分00秒,嘉義縣太保市168 16公里200.0公尺處西向外側,死亡1;受傷1,自用-小客車;普通重型-機車;其他人-人
3185,103年10月04日 03時55分00秒,新北市石門區淡金公路前0.0公尺,死亡1;受傷0,普通重型-機車
3186,103年10月04日 05時10分00秒,屏東縣新園鄉仙吉路20號前,死亡1;受傷0,行人-人;自用-小客車
3187,103年10月04日 06時38分00秒,桃園縣中壢市興和里新生路二段1巷前0.0公尺,死亡1;受傷0,普通輕型-機車
3188,103年10月04日 10時30分00秒,新北市汐止區南興路42號前0.0公尺,死亡1;受傷0,計程車-小客車;營業用-曳引車;其他人-人
3189,103年10月04日 12時11分00秒,新竹縣竹北市東興路一段前0.0公尺,死亡1;受傷0,自用大客車-大客車;普通重型-機車;自用-小客車
3190,103年10月04日 15時35分00秒,臺南市七股區176 2公里100.0公尺處西向路肩,死亡1;受傷0,普通重型-機車
3191,103年10月05日 10時25分00秒,臺中市龍井區田中里龍北路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3192,103年10月05日 20時28分00秒,新竹縣尖石鄉竹120線26.9K處,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
3193,103年10月06日 00時40分00秒,苗栗縣竹南鎮大厝里環市路一段144之1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3194,103年10月06日 09時30分00秒,彰化縣二林鎮二溪路7段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3195,103年10月06日 14時42分00秒,嘉義縣大林鎮國道3號 284公里500.0公尺處北向中線,死亡2;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人;乘客-人
3196,103年10月06日 18時10分00秒,桃園縣大園鄉五權村中正東路三段285號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車
3197,103年10月06日 20時50分00秒,嘉義縣義竹鄉163線道官和桿85引1電線桿前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
3198,103年10月06日 21時00分00秒,臺南市鹽水區南13線紅茄高幹21號電桿前,死亡1;受傷3,租賃車-小客車;乘客-人;乘客-人;乘客-人;乘客-人
3199,103年10月07日 07時50分00秒,臺中市大里區仁化里仁化路647號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3200,103年10月07日 08時50分00秒,屏東縣竹田鄉台一線與水源路口,死亡1;受傷0,自用-小客車;行人-人
3201,103年10月07日 12時10分00秒,高雄市苓雅區大順三路前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
3202,103年10月07日 12時45分00秒,雲林縣水林鄉153線與蕃薯厝路口,死亡1;受傷0,普通重型-機車;自用-小客車
3203,103年10月07日 18時10分00秒,嘉義縣鹿草鄉167 4公里70.0公尺處東向外側,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;其他人-人
3204,103年10月07日 20時50分00秒,高雄市旗津區旗津二路前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用)
3205,103年10月08日 05時20分00秒,高雄市三民區建工路 / 高雄市三民區昌裕街口,死亡1;受傷0,普通重型-機車;自用-小客車
3206,103年10月08日 14時27分00秒,臺中市清水區臨江里臨港路六段 / 臺中市清水區臨江里橋江北街二段,死亡1;受傷0,普通重型-機車;營業用-半聯結車
3207,103年10月08日 16時13分00秒,彰化縣彰化市東外環道路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-大貨車
3208,103年10月08日 17時37分00秒,臺中市清水區武鹿里西濱快速道路前0.0公尺,死亡1;受傷2,自用-小客車;自用-大貨車;自用-小客車;自用-小客車;乘客-人
3209,103年10月08日 18時30分00秒,新竹市香山區中華路五段160巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
3210,103年10月08日 21時18分00秒,新北市中和區錦和路前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
3211,103年10月09日 02時40分00秒,臺中市西屯區上石里西屯路二段 / 臺中市西屯區上石里弘孝路,死亡1;受傷0,自用-小客車;普通重型-機車
3212,103年10月09日 07時06分00秒,嘉義市東區吳鳳北路 / 嘉義市東區光華路,死亡1;受傷0,自用-小客車;普通重型-機車;其他人-人
3213,103年10月09日 09時10分00秒,新北市三重區新北大道前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車
3214,103年10月09日 10時14分00秒,花蓮縣新城鄉嘉新村嘉新路 / 花蓮縣新城鄉嘉新村嘉南路,死亡1;受傷0,普通重型-機車;民營客運-大客車
3215,103年10月09日 12時20分00秒,高雄市旗山區旗文路前0.0公尺,死亡1;受傷0,普通重型-機車
3216,103年10月09日 12時45分00秒,桃園縣中壢市龍德里龍岡路三段154巷前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);營業用-曳引車;乘客-人
3217,103年10月09日 17時10分00秒,雲林縣斗南鎮靖光路54巷31號旁,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
3218,103年10月10日 14時21分00秒,新北市板橋區臺65線道路前0.0公尺,死亡1;受傷0,自用-小客車;自用-曳引車
3219,103年10月10日 15時30分00秒,雲林縣台西鄉順安橋旁便道(北往南),死亡1;受傷0,普通重型-機車
3220,103年10月10日 18時15分00秒,苗栗縣通霄鎮台1 126公里200.0公尺處南向內側,死亡1;受傷0,自用-小客車;乘客-人
3221,103年10月10日 19時51分00秒,新竹市東區忠孝路300號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;自用-小客車
3222,103年10月10日 22時07分00秒,新竹縣新豐鄉忠一街 / 新竹縣新豐鄉忠信街,死亡1;受傷0,行人-人;自用-小客車
3223,103年10月11日 05時40分00秒,新北市板橋區文化路2段225巷前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車
3224,103年10月11日 10時30分00秒,高雄市鼓山區馬卡道路 / 高雄市鼓山區明誠四路口,死亡1;受傷0,普通輕型-機車;營業用-大貨車
3225,103年10月11日 12時03分00秒,嘉義縣布袋鎮過溝東勢頭180號前村里道路,死亡1;受傷0,普通重型-機車
3226,103年10月11日 16時15分00秒,臺南市永康區東灣里大灣路578號前0.0公尺,死亡1;受傷2,行人-人;普通重型-機車;乘客-人
3227,103年10月11日 19時35分00秒,高雄市三民區明誠一路前0.0公尺,死亡1;受傷0,行人-人;普通重型-機車
3228,103年10月11日 20時35分00秒,臺北市文山區,死亡1;受傷0,民營客運-大客車;行人-人
3229,103年10月11日 22時00分00秒,臺中市大肚區大東里沙田路二段462號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車
3230,103年10月11日 22時59分00秒,新竹市香山區牛埔東路148號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
3231,103年10月11日 23時40分00秒,苗栗縣頭份鎮尖豐公路305號前0.0公尺,死亡1;受傷0,自用-小客車
3232,103年10月12日 04時20分00秒,雲林縣崙背鄉156 6公里30.0公尺處西向外側,死亡1;受傷0,遊覽車-大客車;普通重型-機車
3233,103年10月12日 14時21分00秒,苗栗縣竹南鎮科專五路與大埔五街,死亡1;受傷1,拼裝車-其他車;自用-小貨車(含客、貨兩用)
3234,103年10月12日 16時05分00秒,高雄市旗山區旗南三路 / 高雄市旗山區新南巷口,死亡1;受傷1,普通重型-機車;遊覽車-大客車;乘客-人
3235,103年10月12日 18時11分00秒,新北市五股區新五路前0.0公尺,死亡1;受傷2,自用-小客車;行人-人;行人-人;行人-人
3236,103年10月12日 19時20分00秒,南投縣水里鄉自由路一段前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車;自用-小客車
3237,103年10月12日 19時25分00秒,屏東縣長治鄉水源路3號燈桿旁,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3238,103年10月13日 11時52分00秒,桃園縣新屋鄉后湖3號旁,死亡1;受傷0,普通重型-機車;自用-大貨車
3239,103年10月13日 21時50分00秒,高雄市大樹區中興北路前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人
3240,103年10月14日 10時25分00秒,臺南市西港區慶安路與新興街路口(附近),死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
3241,103年10月14日 16時58分00秒,彰化縣埔鹽鄉中山路 / 彰化縣埔鹽鄉舊鐵道路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3242,103年10月15日 03時59分00秒,新北市三重區國道1號 26公里700.0公尺處北向外側,死亡1;受傷0,行人-人;自用-小客車
3243,103年10月15日 04時15分00秒,屏東縣長治鄉二高下平面道路、德和路口,死亡1;受傷0,營業用-曳引車;自用-小客車
3244,103年10月15日 14時40分00秒,彰化縣溪州鄉前庄巷路前0.0公尺,死亡1;受傷0,租賃車-小客車;行人-人
3245,103年10月15日 18時10分00秒,臺南市佳里區南19線公路6.6公里路口,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
3246,103年10月15日 19時45分00秒,高雄市彌陀區中正東路 / 高雄市彌陀區中正南路口,死亡1;受傷0,普通重型-機車
3247,103年10月16日 01時28分00秒,新竹市東區經國路一段 / 新竹市東區民主路,死亡1;受傷1,行人-人;自用-小客車;自用-小客車
3248,103年10月16日 02時55分00秒,南投縣水里鄉台16 14公里600.0公尺處東向內側,死亡2;受傷0,普通重型-機車;乘客-人
3249,103年10月16日 04時46分00秒,屏東縣長治鄉水源路繁華國小前,死亡1;受傷0,行人-人;自用-小客車
3250,103年10月16日 07時00分00秒,新北市三重區重陽路3段前0.0公尺,死亡1;受傷1,營業用-全聯結車;普通輕型-機車;乘客-人
3251,103年10月16日 07時40分00秒,臺南市佳里區信義一街336號旁,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
3252,103年10月17日 08時00分00秒,臺中市龍井區山腳里中山二路一段161巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3253,103年10月17日 08時11分00秒,新北市三重區自強路2段54號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3254,103年10月17日 08時30分00秒,雲林縣西螺鎮太和2-10號前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
3255,103年10月17日 16時30分00秒,臺中市東勢區慶福里東關路170-5號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3256,103年10月18日 00時40分00秒,彰化縣溪湖鎮二溪路 / 彰化縣溪湖鎮河興路,死亡1;受傷1,自用-小客車;乘客-人
3257,103年10月18日 11時10分00秒,新北市平溪區106線道路前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車
3258,103年10月18日 13時40分00秒,宜蘭縣頭城鎮濱海路七段前0.0公尺,死亡2;受傷2,營業用-曳引車;自用-小客車;乘客-人;乘客-人
3259,103年10月18日 15時36分00秒,雲林縣土庫鎮145線土庫173b電桿旁路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
3260,103年10月18日 16時48分00秒,桃園縣桃園市中成里永安路1369巷087號前0.0公尺,死亡1;受傷0,普通重型-機車
3261,103年10月19日 00時20分00秒,高雄市前鎮區新生路前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車
3262,103年10月19日 03時20分00秒,高雄市楠梓區高楠公路前0.0公尺,死亡1;受傷0,普通重型-機車
3263,103年10月19日 12時25分00秒,高雄市岡山區中山南路 / 高雄市岡山區大德三路口,死亡1;受傷0,普通重型-機車;自用-小客車
3264,103年10月19日 15時30分00秒,彰化縣社頭鄉員集路3段前0.0公尺,死亡1;受傷0,普通重型-機車
3265,103年10月19日 21時40分00秒,花蓮縣花蓮市國福里中山路二段 / 花蓮縣花蓮市國福里福光街,死亡1;受傷1,自用-小客車;普通重型-機車
3266,103年10月20日 09時25分00秒,高雄市燕巢區四林路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3267,103年10月20日 12時47分00秒,臺東縣鹿野鄉瑞隆村新源路 / 臺東縣鹿野鄉瑞隆村同興路,死亡1;受傷1,自用-小客車;乘客-人
3268,103年10月20日 14時40分00秒,南投縣集集鎮環山街270巷前0.0公尺,死亡1;受傷0,農耕用車(或機械)-其他車
3269,103年10月20日 19時17分00秒,南投縣南投市彰南路三段 / 南投縣南投市彰南路三段,死亡1;受傷0,其他人-人;民營客運-大客車
3270,103年10月20日 22時25分00秒,新竹縣湖口鄉成功路 / 新竹縣湖口鄉三元路,死亡1;受傷0,自用-小客車;普通重型-機車
3271,103年10月20日 23時32分00秒,花蓮縣吉安鄉自立路一段157號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
3272,103年10月21日 00時40分00秒,臺北市文山區 / 臺北市文山區興隆路,死亡1;受傷1,普通重型-機車;行人-人
3273,103年10月21日 00時50分00秒,高雄市美濃區美興街前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
3274,103年10月21日 00時57分00秒,桃園縣龜山鄉忠義路一段前0.0公尺,死亡1;受傷0,普通重型-機車
3275,103年10月21日 07時05分00秒,高雄市大寮區內坑路前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車
3276,103年10月21日 07時35分00秒,新北市永和區環河東路2段62號前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車;公營客運-大客車
3277,103年10月21日 14時00分00秒,高雄市路竹區環球路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
3278,103年10月21日 19時32分00秒,臺南市官田區中華電線桿(官田幹153),死亡1;受傷1,普通重型-機車;普通輕型-機車
3279,103年10月22日 05時20分00秒,南投縣草屯鎮芬草路 / 南投縣草屯鎮加老路,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
3280,103年10月22日 14時10分00秒,屏東縣高樹鄉新南村社北路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用)
3281,103年10月22日 16時13分00秒,新北市新莊區新北大道7段前0.0公尺,死亡1;受傷8,自用-大貨車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通輕型-機車;乘客-人
3282,103年10月23日 05時00分00秒,臺北市大同區,死亡1;受傷0,自用-小客車
3283,103年10月24日 07時00分00秒,新北市汐止區大同路1段前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
3284,103年10月24日 09時00分00秒,宜蘭縣羅東鎮191甲(南下)迴轉道,死亡1;受傷0,普通重型-機車;自用-小客車
3285,103年10月24日 09時30分00秒,臺中市南屯區新生里環中路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車
3286,103年10月24日 10時30分00秒,嘉義縣太保市東勢里故宮大道前0.0公尺,死亡1;受傷0,普通重型-機車
3287,103年10月24日 11時05分00秒,高雄市前鎮區新衙路 / 高雄市前鎮區德昌路口,死亡1;受傷0,營業用-半聯結車;腳踏自行車-慢車
3288,103年10月24日 18時25分00秒,桃園縣楊梅市上湖里楊湖路三段846巷前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
3289,103年10月24日 23時25分00秒,高雄市旗山區延平一路 / 高雄市旗山區中華路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
3290,103年10月25日 05時00分00秒,南投縣埔里鎮南環路 / 南投縣埔里鎮隆生路,死亡1;受傷1,普通重型-機車;營業用-半聯結車;乘客-人
3291,103年10月25日 09時41分00秒,苗栗縣頭份鎮日新路 / 苗栗縣頭份鎮濱江街,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
3292,103年10月25日 14時58分00秒,嘉義縣民雄鄉旁路口,死亡1;受傷0,自用-小客車;普通重型-機車
3293,103年10月25日 17時40分00秒,高雄市橋頭區樹德路前0.0公尺,死亡1;受傷0,普通重型-機車
3294,103年10月26日 03時35分00秒,彰化縣福興鄉,死亡1;受傷0,自用-小客車
3295,103年10月26日 05時40分00秒,高雄市苓雅區建國一路前0.0公尺,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人
3296,103年10月26日 06時15分00秒,新北市三重區集賢路163號前0.0公尺,死亡1;受傷2,行人-人;自用-小客車;乘客-人;自用-小客車;自用-小客車;遊覽車-大客車
3297,103年10月26日 13時59分00秒,桃園縣平鎮市高雙里長安路168號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車
3298,103年10月26日 16時14分00秒,屏東縣長治鄉德新路46號燈桿前,死亡1;受傷2,自用-小客車;乘客-人;乘客-人
3299,103年10月26日 20時15分00秒,苗栗縣苗栗市中華路451號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
3300,103年10月26日 20時18分00秒,彰化縣埔心鄉大溪路3段 / 彰化縣埔心鄉柳橋西路,死亡1;受傷0,自用-小客車;普通重型-機車
3301,103年10月26日 22時19分00秒,高雄市鳳山區國道1號 369公里553.0公尺處北向內側,死亡1;受傷0,普通重型-機車;自用-小客車
3302,103年10月27日 05時58分00秒,基隆市中正區中正路165號前0.0公尺,死亡1;受傷0,營業用-曳引車;行人-人
3303,103年10月27日 07時40分00秒,花蓮縣秀林鄉和平村和工五路(台泥側門前以東約100公尺處),死亡1;受傷0,普通重型-機車
3304,103年10月27日 07時56分00秒,新北市板橋區環河西路5段前0.0公尺,死亡1;受傷0,普通重型-機車
3305,103年10月27日 12時38分00秒,宜蘭縣礁溪鄉宜蘭縣礁溪鄉林尾路(佛光電桿38號前),死亡1;受傷0,普通重型-機車;自用-小客車;自用-小貨車(含客、貨兩用)
3306,103年10月27日 13時12分00秒,臺南市關廟區埤頭里關新路二段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
3307,103年10月27日 13時26分00秒,苗栗縣苗栗市台6 14公里800.0公尺處西向外側,死亡2;受傷0,普通重型-機車;乘客-人
3308,103年10月27日 18時30分00秒,新竹市東區東西向快速道路10.2K往竹東方向,死亡1;受傷0,行人-人;自用-小客車;自用-小客車
3309,103年10月27日 19時27分00秒,嘉義縣大林鎮西林里忠孝路705號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
3310,103年10月28日 05時40分00秒,屏東縣滿州鄉港口路前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
3311,103年10月29日 03時26分00秒,嘉義市西區,死亡1;受傷0,普通重型-機車
3312,103年10月29日 11時52分00秒,新北市八里區龍米路1段前0.0公尺,死亡1;受傷1,營業用-曳引車;普通重型-機車;普通重型-機車;自用-大貨車;自用-小客車
3313,103年10月29日 13時00分00秒,南投縣埔里鎮西安路三段5號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車
3314,103年10月30日 00時53分00秒,桃園縣蘆竹鄉內厝里長興路三段 / 桃園縣蘆竹鄉內厝里油管路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
3315,103年10月30日 04時21分00秒,桃園縣楊梅市國道1號 72公里600.0公尺處南向外側,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人
3316,103年10月30日 05時30分00秒,新北市瑞芳區,死亡1;受傷0,行人-人;火車-其他車
3317,103年10月30日 20時00分00秒,彰化縣彰化市中山路3段前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
3318,103年10月30日 21時12分00秒,新竹縣湖口鄉德興路前0.0公尺,死亡1;受傷0,普通重型-機車
