,發生時間,發生地點,死亡受傷人數,車種
96,102年01月18日 15時39分,雲林縣林內鄉重興(東興橋前)(附近),死亡1;受傷0,普通重型-機車;拼裝車-其他車
97,102年01月19日 05時30分,高雄市美濃區五福街59號前,死亡1;受傷0,自用-小客車;行人-人
98,102年01月19日 06時15分,嘉義縣六腳鄉豐美村台19線74公里600公尺處南向內側車道,死亡1;受傷0,電動輔助自行車-慢車;自用-小客車;自用-小貨車
99,102年01月19日 10時31分,彰化縣線西鄉彰化縣線西鄉沿海路1段728巷與中正路口,死亡1;受傷0,普通輕型-機車;自用-小貨車
100,102年01月19日 13時20分,高雄市仁武區澄觀路一段新庄巷口,死亡1;受傷1,普通重型-機車;普通重型-機車
101,102年01月19日 14時40分,臺南市關廟區埤頭里保東路與保東ㄧ街口(附近),死亡1;受傷0,普通輕型-機車;自用-小客車
102,102年01月19日 17時05分,新竹縣關西鎮台三線青山街口(附近),死亡1;受傷0,自用-小客車;普通輕型-機車
103,102年01月19日 22時38分,臺中市太平區長龍路二段253號前對面車道公尺數,死亡1;受傷1,普通重型-機車;普通重型-機車
104,102年01月20日 12時30分,高雄市彌陀區山霸煙路100號前,死亡1;受傷0,自用-小貨車;普通重型-機車
105,102年01月20日 13時40分,屏東縣萬丹鄉田厝村萬順路與聖賢路口(附近),死亡1;受傷0,自用-小貨車;普通重型-機車
106,102年01月20日 15時53分,嘉義縣東石鄉157線43.92公里處橋墩(附近),死亡2;受傷1,自用-小客車;自用-小貨車;腳踏自行車-慢車;自用-小貨車
107,102年01月20日 18時00分,高雄市杉林區司馬路45巷口,死亡1;受傷2,自用-小客車;普通輕型-機車;自用-小客車
108,102年01月21日 07時30分,彰化縣彰化市彰化縣彰化市寶山路與龍鳳谷登山步道口旁,死亡1;受傷0,普通重型-機車;營業用-曳引車
109,102年01月21日 15時50分,新竹縣尖石鄉嘉樂村7鄰往石上湯屋約200公尺處(附近),死亡1;受傷0,自用-小貨車
110,102年01月21日 22時30分,臺南市新化區知義里中興路(口)(尖峰高幹69電桿)東側20公尺處(附近)南168線1公里900公尺處東向內側車道,死亡1;受傷1,普通重型-機車;拼裝車-其他車
111,102年01月22日 00時54分,桃園縣龜山鄉自強西路202號(S10201239－－龜山派出所)(附近),死亡1;受傷1,普通重型-機車;行人-人
112,102年01月22日 07時12分,新竹縣湖口鄉中山路三段489號,死亡1;受傷0,自用-小客車;普通重型-機車
