,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2011-07,1164.0895808613375,585.7479435459819,900.3489942248773,1288.146264873955,1988.8960516744173,937.354538091625,1312.1035602440556,1600.0592130756402,1464.2594628979925,828.9656647769815,1137.9521615339963,1190.5534165448764,891.0636250202832,889.4373752703056,1373.0535928619643,1199.8307147936946,1579.811608206721,1396.6769434501025,870.6575300075264,1319.5898015586008,1595.6234328698426,658.3672492219297,200.18016214593135
2011-08,1134.7077159693533,545.2035392433977,823.7769148455665,1269.8839382829435,1965.5964208542784,963.4060321906637,1355.2901395609842,1484.7163473365451,1201.2174920516213,987.1246164646684,1076.901010246667,1084.373001403194,913.8759395918207,771.567729179727,1440.4120339563585,1079.1209751408974,1444.2767198607326,1396.9081765691935,866.0144440712127,1409.2055334644444,1367.848212972496,623.1823847112588,0.0
2011-09,1131.2207929434444,548.5812844014173,857.1648260159941,1328.7446621376919,2023.8150737566489,969.0671422806979,1369.9188325796194,1369.3798820896434,1263.9117390883578,812.4070230449229,1080.4240664460801,905.4596927167803,880.6501970612326,877.9109801978176,1228.4317290984766,1005.9878144258654,1335.39875006677,1332.9337976213849,709.3186075287603,1335.6143109042514,1493.9762582886244,646.6530804201285,0.0
2011-10,1174.2421712340617,586.9371212932658,849.3698394634253,1416.7172637117992,2161.357837740344,1024.8828553033823,1266.9792891791892,1254.0932209294226,1343.9976484875674,1022.2199268774388,1097.421902699351,1135.373182256067,1018.096062334927,949.0450118491335,1393.390062563907,1138.0846910100063,1270.463214450035,773.1400826744461,704.3345483980331,1446.5527406922924,1494.603230699003,437.6282493897517,0.0
2011-11,1175.0784634855104,570.5751361599757,826.180281830607,1356.7415144018362,2101.1953717369506,1050.7772661247952,1548.0261224901806,1330.496682468583,1308.6955765316281,820.5285200406527,955.4418745999807,1009.6316565416673,1050.7792578976569,932.7231614484336,1352.6339945825275,1125.071137766493,1425.0258285931432,947.5646558383372,752.0754389517226,1368.6740552810788,1137.7276375766771,667.6988581381846,0.0
2011-12,1238.7560392047985,617.1403650907415,953.2367044792695,1315.2502973965693,2357.7594004490325,960.0630807262809,1702.667536502467,1219.881453663021,1251.8328339524883,797.1388409458907,1130.4343154732896,1145.7382934811508,933.3535139498512,938.7629149610924,1356.808157968096,1086.3375531122695,1410.1734364887573,1060.1397737682307,818.5783058324363,1314.1230133412055,1049.623240499989,529.4417758439783,0.0
2012-01,1204.364640184764,585.5110268265634,798.3538381105777,1163.7282198135651,2042.682114770599,1101.6906263068593,1873.20378028235,1174.2458901393845,1112.2847603470482,962.352623077963,1003.2592492519693,1272.5762684619242,1029.0272608107446,1062.072659906106,1489.443697986647,1332.6436318045924,1342.309782527997,1110.5626850937808,726.80925470451,1113.379105585452,1182.2159367127767,325.2405823719604,0.0
2012-02,1087.0274915605376,595.9796377025496,768.2893560838419,1121.0851349768636,1825.32317181773,1024.2905469647603,1635.4149135568975,1150.8483147047027,1145.897436392082,711.503228445899,976.813728840502,988.1252621117156,793.8411392041111,836.0145380880032,1110.5449660698982,1017.8384971088124,1203.1334943452725,688.818522021631,682.6280388808062,1067.55304478492,1196.837403194267,360.4150463797257,0.0
2012-03,1225.468891705195,750.6195863507111,917.7447720921268,1274.347907395732,2031.625461490356,1096.5087459752963,1842.7974479796264,1129.497548030902,1245.106788144887,779.0004250710082,1028.039824633924,1009.7681173860226,914.7705988239867,881.8490117884382,1217.9209359565953,1049.2949089440317,1280.8891926831805,810.6555021959529,744.0220990393672,1284.9104956524425,1340.877611764359,573.5346659395626,0.0
2012-04,1152.6771026806691,635.4581571713442,730.8124129033714,1193.2014780430109,1917.69382432187,1080.8928494412103,1744.3647827166608,1238.878989004949,1180.705765426701,857.083923097167,947.6939063973566,952.4649101961656,912.2435718405848,905.112485886777,1317.3106916692855,1133.6772447248857,1394.513525889188,962.9963529074295,704.6974551712125,1198.295335902352,1351.2767171707874,578.368999421631,0.0
2012-05,1165.2994668247466,635.3261200585428,810.2165450277093,1297.3933737330105,1898.6749688481098,1080.22407329126,1708.995109434071,1118.8390245817438,1098.702338254083,863.989248133801,1002.6226578880799,1033.6521865866848,926.8335154233523,937.6990509065981,1277.3688753584986,905.8927000879507,1401.4687154096098,1229.01709357941,657.8217382345016,1293.7990061917524,1405.988332505199,380.87806328149674,0.0
2012-06,1083.8824788181214,501.504258074244,732.1845420448525,1185.088087092589,1835.2061185502769,1003.3026487722184,1591.7955872169232,1332.269262302231,1107.1940703606454,796.1840038103092,817.3037740520276,1016.8489960055101,929.9228669718649,900.8588062686316,1180.6731810725435,1166.4040423602735,1398.726266293673,1565.6338258769595,652.9192362695313,1090.9848208749652,1409.7000614673395,517.8137165154835,0.0
2012-07,1209.3669466862573,582.1681908595266,764.1245763255741,1325.1374972362055,1994.8137831243537,1082.478012497991,1737.1981609188776,1762.2144580100062,1196.2916877889918,849.3821544453962,1035.9761364012172,1190.0374669860573,1037.1898619609915,996.8467474368134,1330.2213511563632,1391.9846353088358,1584.3046629778971,1602.9076949778962,822.6816777415669,1354.984712083484,1494.9114099297465,513.9359232032892,0.0
2012-08,1086.5063091045577,559.1967512653163,697.0282885442012,1210.414505212193,1762.9643792318989,1043.359265679386,1605.4295721784133,1404.4269981463308,1046.8232939272746,778.1299299327752,914.0331790966459,1006.4535955746773,950.2469798733192,926.294988463417,923.2085800261383,1292.0124527070527,1278.604681660219,1152.8612383566117,757.1265195476302,1162.2468215384179,1400.1525429349408,565.0335374744824,0.0
2012-09,1184.743845959248,570.5479777710033,770.4911637342489,1301.2682922976371,2031.9710716594532,1077.3316649322956,1765.1401919648483,1461.5035599609103,1094.9967073525581,914.7213297028666,1007.352364007431,1129.9565312640523,946.4995689418753,861.1361755819221,1403.26707570079,1120.8140463593402,1306.1721105415247,1192.6119220419148,768.1366329657754,1184.8229374168027,1382.0350189246662,442.0348034749348,0.0
2012-10,1333.7143823196361,707.9921282253539,866.1169141652277,1550.493143643348,2261.8080066660677,1152.4388946797421,1975.7821749663678,1494.2042326334204,983.0641382410038,871.6492100124268,1260.381992696248,1168.5813076962995,1126.2923888788118,1123.6270681760723,1537.7165433156474,1099.2746553177963,1249.6719238386104,1074.9198880460794,840.1601870085261,1502.0077859179107,1334.375276458966,814.1355401476179,0.0
2012-11,1249.4732358318836,623.5476483109986,816.1718843012708,1382.707918849587,2146.052314777199,1098.3367587688847,1927.717262375099,1498.207385050202,976.4337429514286,840.9324770251569,1170.2772656906404,1095.5681385720711,990.154711673699,1045.0749438599973,1348.4888889406443,967.38712712527,1157.438481249795,779.7863182945971,752.7984753180176,1465.1393413468447,1312.282745324993,551.385578599125,0.0
2012-12,1326.3096621684624,690.2232754254875,846.9167964100304,1389.0523953518957,2332.3089597983976,1121.890686075216,2080.140096355832,1487.1509719905362,1269.1009231039347,797.9062938848461,1180.1198275517206,1253.3737283639243,1066.1175739214702,1124.1786469760532,1399.0478087602992,1131.4817106589112,1282.8545004325904,940.8860516172111,821.9475915609845,1512.6884685146715,1305.2134798318707,601.1793724748256,0.0
2013-01,1344.9183788162045,602.3486522892928,847.4661807910408,1379.5397957611756,2348.670587692385,1370.9512435537395,1983.5914665261744,1611.429593173993,1416.4278946696177,939.3449044083634,1314.8945468422528,1230.6674640366277,1243.6183667239238,1072.3579125765837,1514.0936593394167,1092.470797415223,1349.2980366519498,687.3755395392562,912.4160192668313,1570.1022446821012,1172.3242988173533,421.95947430882154,0.0
2013-02,1102.1234791523298,483.4861328770063,672.2398928601323,1062.0567794542435,1832.8140298249843,1174.7403722827155,1644.7794534625648,1282.165900928698,1143.0313190581421,815.1071245678603,912.6243027388732,1159.791583721373,1042.8189041535436,1106.7217401417354,1490.259092854336,1282.9190389609241,1247.7947168729906,505.4640665595083,557.2420234784639,1294.3326552377016,1150.463688489832,262.71772731651356,0.0
2013-03,1297.1063577926348,705.0680187740845,827.1805169299391,1278.9912049070776,2254.932688493225,1311.1138145602695,1879.4963252122395,1419.5408188853442,1574.2575576736015,974.5103528436213,1092.1483844054449,981.2730767528711,1124.9259083530326,989.5951673204505,1418.8750048132067,1097.8406183321677,1352.7556797821258,828.0151870102594,820.3706801111881,1490.1031339098195,1275.6230644447724,591.9889959692514,0.0
2013-04,1173.1013328145261,655.0150237572909,804.016048966593,1198.3989233088591,1937.3154152406853,1093.7728256683356,1797.9029024472136,1315.0089848043406,1213.3314315599298,760.1611754324414,1114.0084054898211,885.5929429793656,1015.7590580067455,1077.170931799853,1028.5783669304465,1040.5873340595303,1108.41559310691,827.3051040689287,778.0881868686332,1141.9486756209199,1370.9837914335626,363.3186564130068,0.0
2013-05,1298.5785515559978,734.6091400282132,717.4580717950555,1426.148779299178,2167.080213164929,1220.28186014093,1960.1140011227385,1236.4200949884644,1278.4031547874583,898.1526753257796,1303.2567554452562,1026.8661317201452,1156.830088291076,1128.897518683254,1191.9605764882272,1188.1644632422704,1506.6679022937824,997.5715682026581,948.529646201099,1384.5418595498247,1407.9731084507873,473.4522415811583,0.0
