,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
2015-07,243,16,14,12,21,25,32,7,5,5,17,11,14,6,15,6,4,1,5,4,3,0,0,19,1
2015-08,254,16,11,10,19,35,31,5,5,9,12,12,25,9,21,5,9,2,3,1,2,0,0,9,3
2015-09,241,15,8,16,26,18,35,9,8,9,18,7,15,10,18,5,5,1,3,4,3,2,0,6,0
2015-10,255,12,17,20,16,24,40,6,8,8,23,6,13,16,21,8,5,1,0,4,0,0,0,5,2
2015-11,266,23,11,25,31,28,18,6,11,3,16,10,17,11,15,7,4,1,3,7,4,1,0,12,2
2015-12,279,23,16,19,30,26,28,7,16,4,28,6,14,9,25,6,6,1,3,4,1,0,0,7,0
2016-01,278,30,15,12,30,28,31,5,6,8,17,8,22,9,27,7,8,0,1,3,0,0,0,9,2
2016-02,231,25,17,20,17,20,27,5,6,7,12,5,13,8,17,9,6,2,2,3,1,0,0,8,1
2016-03,226,21,10,15,17,25,36,9,3,3,14,10,8,7,19,5,5,0,4,1,3,0,1,8,2
2016-04,235,27,9,9,21,27,29,4,4,7,19,10,18,7,19,2,7,1,0,5,1,1,0,8,0
2016-05,235,16,14,11,27,17,31,4,5,11,18,7,17,13,21,3,9,2,3,1,2,0,0,3,0
2016-06,234,15,12,15,21,18,35,5,12,9,9,4,12,9,24,11,6,2,2,4,2,0,0,7,0
2016-07,227,20,10,20,17,24,21,7,9,9,27,9,15,11,5,4,6,0,1,1,1,1,0,9,0
2016-08,217,12,10,18,20,20,27,10,10,11,17,8,15,5,13,7,3,1,1,1,2,0,0,3,3
2016-09,205,24,15,20,17,22,18,3,5,5,21,8,8,6,14,2,3,2,3,2,0,0,0,7,0
2016-10,253,24,14,15,23,28,30,5,9,11,13,8,7,13,24,7,5,0,1,4,0,1,0,9,2
2016-11,266,28,18,24,29,23,26,9,10,8,17,11,19,6,12,5,4,1,2,3,3,1,0,6,1
2016-12,240,24,13,24,20,17,18,2,12,9,17,10,13,15,14,3,10,5,4,3,0,1,0,3,3
2017-01,233,20,7,16,25,17,19,4,12,7,26,8,14,11,17,5,9,2,1,2,1,1,0,7,2
2017-02,229,15,6,20,12,25,19,3,1,7,16,10,16,5,11,4,9,2,5,2,1,1,0,39,0
2017-03,173,17,7,15,15,17,19,3,5,5,12,8,11,4,9,4,11,0,2,4,2,0,0,3,0
2017-04,222,25,8,15,16,16,26,8,7,8,14,8,12,8,21,6,4,1,5,2,2,2,0,8,0
2017-05,204,25,5,13,22,20,21,4,8,9,12,2,11,8,11,2,5,1,3,7,4,2,0,9,0
2017-06,214,23,9,16,23,16,30,2,5,7,12,7,14,9,16,5,6,1,2,1,2,1,0,6,1
2017-07,243,16,18,16,17,16,30,3,10,6,20,11,12,9,18,7,8,3,2,4,0,1,0,13,3
