,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2010-03,774.8877236367516,424.2615800614059,524.0438215809307,756.4445291662316,1341.888678946407,749.2673978023267,989.4305578158338,790.4145453600502,853.7624156982878,603.6088329873118,791.3388798209348,694.0803247088824,634.5388648127417,533.9174731807037,898.585748566177,614.5568314653098,883.2315122918832,518.3549487346955,505.64464532639875,1048.8070727867264,1158.1304778292908,253.4292140526499,0.0
2010-04,748.0199129609839,397.19374766072707,598.7745669446481,672.4732761134974,1264.033345934525,696.4813293940718,947.5081905696595,855.7340681814243,714.6385705666537,546.8549605266908,790.8858226280289,643.6792023663234,626.8018820697221,523.4394731929441,963.0344670944296,615.0775728952949,895.2025946199791,425.0686848789591,410.63307223268174,1021.008088222841,1151.1516998673435,200.1875441202811,0.0
2010-05,792.2383207089125,369.06380557286343,623.2359887103278,730.8190145545997,1339.487071507099,709.4112739853018,1041.251377781947,931.9280724910003,843.9890203280225,507.73267963493134,796.7045126747751,774.5772414092771,699.5443245996705,580.7158376047396,988.9218024293376,796.6377580460414,957.6321223889103,570.1431577637949,553.3190090935652,1146.6336384572214,1126.373224499349,252.53056672068016,0.0
2010-06,766.5186254820508,344.77933735885114,588.5815185403178,723.334657050629,1345.881764684714,673.0462843415062,931.9005212435061,827.1747531502115,919.9650060219458,587.5828911578598,824.3399550471149,730.6689785588405,659.5507541002768,512.1314580878224,925.902726686726,854.4168604927138,971.5283318269737,736.6062165414783,448.338684890468,1181.9042705979516,1158.0096891696776,294.2876661937043,0.0
2010-07,824.2857500887978,412.6972943771086,637.5325915028152,789.0488198411634,1422.7996838054744,709.7031359807216,993.3814249216098,1022.4105445041635,892.5879962573943,672.9571199577305,839.0159214350992,818.2748039549949,691.9779291063738,554.7656574340435,986.1944182536035,760.518708328112,1092.2719551079172,819.1961508150483,570.6400506313354,1163.2912678181879,1132.5609438740914,387.8040855684474,0.0
2010-08,818.318584300208,432.3570575674559,665.5640463376897,809.2032517890082,1399.6301436691413,681.9517052261086,993.5561303314835,1033.167722624854,934.2433410730898,660.0530539941237,737.5837520617949,727.5841553392172,690.6192738472506,521.8324403383825,987.2389380732977,830.6653975945314,1092.6354602910944,787.6463882267592,563.0689071792583,1212.548671027333,879.8234487612818,261.00665044945345,0.0
2010-09,802.1657221586886,400.24631332812515,603.314087843911,846.5188846127338,1417.2873520807925,653.2340958311497,971.5891324834272,944.258366454733,888.5035452267832,599.4038072845402,754.6777403709773,754.7899768442572,715.8236010105089,546.1034507486398,886.4731733340644,827.0510649906253,954.9212337346557,735.8427991045519,540.3242984876115,1238.1644272705112,1089.0649808771923,478.7128867427751,0.0
2010-10,819.7513334565538,357.2400827995706,640.625532180335,805.8806806968844,1544.6927448184967,688.9672908642724,1016.9520864106352,868.489046181905,911.4809516095348,622.5283928243346,793.1166347992352,747.7543645890862,757.7498728958163,590.3578561733776,903.1709302431931,753.7949677687669,819.8365045474385,734.146064046489,566.8374112691438,1326.3175155902595,1064.1303669781998,455.3828320672311,0.0
2010-11,831.5348269119838,390.6254010198351,670.2061811131846,845.3849824252856,1550.4244877178432,647.306527123104,1037.64360439459,872.8542333430316,963.8253329977505,645.5121746805873,780.9004447537792,759.3994669015743,728.6527725725622,656.7908866125044,936.9841010158098,871.1518708094778,885.0575729951233,568.1994276682128,520.43216687137,1231.313433123536,759.8505260221274,360.8954331260763,0.0
2010-12,883.8136296918897,446.19867720951095,696.1278034132029,946.5250791684564,1560.176089961596,650.5517682306593,1078.0668206727785,1016.31754277003,1005.8185433174469,693.4441893298726,861.3264427217915,850.9167298206427,755.2396492455267,705.0187023238005,1077.264229675939,828.0119476488363,1047.8003571375864,722.2600548917642,593.5428782664383,1345.8723371470396,756.2685854840487,605.973460416581,0.0
2011-01,876.5951259825973,347.40922266288396,711.049635077127,942.3578622709276,1590.9796924558875,732.8897206478467,1088.5426112691382,957.9293087269316,937.2199056934647,730.8169463972507,836.401285900019,815.3118995626963,723.7171451241127,696.3480413829693,1089.4806121712513,707.1184705417916,1119.2024427553051,680.9318449126138,609.883236030025,1328.3376287729482,833.578143360752,409.2783399670531,100.41168792047395
2011-02,698.4838884848456,314.5293040744116,521.946318773571,721.6052095401702,1184.576578970011,582.4332577397959,908.7863410855452,806.1361957324757,736.105999263894,665.014530478347,682.0149369691134,669.2778643951782,623.5814220167488,586.40427226861,944.6702940171646,516.6859157498023,812.4532839361738,454.2920271749231,419.9795488219704,925.9326065363626,944.0407884393574,275.59738284559404,0.0
2011-03,819.8264706392738,391.7162404475877,668.2708719526792,874.720720945617,1444.6550028063273,717.057150469344,1018.0919593455649,812.979853750576,1004.2075517964807,695.432612579841,742.10565011212,684.9927600070782,727.1894893901518,616.6491580154236,911.1125901071991,712.6097158251499,916.4114510045052,557.9146390602237,467.5277186475651,1141.3029114036583,1025.0531815225897,305.54254170655696,0.0
